Hour,Heating Load (kW)
1,24.955648942542666
2,25.567416946466256
3,26.618207563351135
4,27.297756355846488
5,29.155683237528105
6,29.888501117258382
7,29.923057044307413
8,30.377089632987197
9,31.38021717263315
10,30.825011047091987
11,27.873412427615502
12,26.009835292258185
13,23.579866337454256
14,22.19794876306361
15,22.353638832822558
16,22.326067005358322
17,22.094444138487436
18,22.201225335151612
19,22.787678680196496
20,23.077361404515596
21,23.852107495213726
22,24.94059725417932
23,25.56219690080402
24,25.68188531427549
25,26.071494727601834
26,26.2790123208813
27,27.19628053312017
28,27.122924283340147
29,27.00098644701251
30,26.115071798417137
31,25.774696302092877
32,25.324591688851616
33,25.00255537536361
34,24.412641455099774
35,24.225623297913568
36,23.136382656813776
37,22.745521712263553
38,22.47397661287944
39,23.30441374440549
40,23.162376047335037
41,22.89168992839857
42,23.2762844513163
43,23.303356146574963
44,23.348684998200813
45,23.26924338350896
46,23.4715477161861
47,23.470284649585444
48,23.036554303302765
49,23.5494084294398
50,24.394021834911577
51,24.925026833655703
52,24.450432445786536
53,24.491318742657974
54,24.412436303202657
55,24.606148953080844
56,24.72941653403289
57,24.916598000296176
58,24.253392628194977
59,23.532789097687473
60,22.53839726432746
61,21.542944407556583
62,20.782818330049263
63,20.341341755990676
64,21.70578314320562
65,21.809302743124174
66,21.97220358773233
67,21.97497196885402
68,22.129740069127635
69,21.752757350529116
70,21.630920517322238
71,21.609683905030074
72,21.570140520005733
73,22.079729957743805
74,22.12908231724853
75,22.204181358638166
76,22.180514717058074
77,22.5975421971457
78,22.49613937710551
79,22.86415938911288
80,23.292222330168595
81,23.442920985523315
82,23.510833337736155
83,23.151270023738604
84,22.246333060750953
85,20.912569771642804
86,20.562635927212387
87,20.28407515828715
88,19.938102113744947
89,20.21097520461801
90,20.896762719508573
91,21.788225886049506
92,23.07238389457342
93,25.647498486176758
94,26.418340570797564
95,26.149774832470456
96,26.4565508465898
97,26.959246183004172
98,27.875803837144126
99,27.79597799175415
100,27.485230202840153
101,27.082386692953744
102,26.8600093080529
103,26.465684958601347
104,26.357244628316014
105,25.93341054668333
106,25.54877911370965
107,25.096693777602912
108,24.677794990604106
109,22.978639142815634
110,22.18063397278979
111,21.571355589809297
112,21.346513854366602
113,21.113201868608392
114,21.257196568634864
115,21.98300786335728
116,22.02134324816801
117,22.52135050283935
118,22.889584435710454
119,23.303624942185472
120,23.48280433651373
121,24.116892091474696
122,24.93215793920609
123,26.15101057781235
124,26.844416534484584
125,27.014691294468616
126,26.752806443369174
127,26.84325505497443
128,27.097902630543352
129,27.70172002331001
130,27.88690304103463
131,27.635379225026497
132,27.118010140750734
133,25.332248362085604
134,25.061986676789044
135,25.63461064604811
