Hour,Heating Load (kW)
1,18.04198830134158
2,18.56481970432039
3,19.473565096763743
4,20.06858656020697
5,21.725585423103848
6,22.39159537339013
7,22.42317813855481
8,22.839641545866556
9,23.76972736903471
10,23.253241713530105
11,20.577220081414833
12,18.94576896850112
13,16.882625190650103
14,15.740430748396923
15,15.868014253143768
16,15.845399785120645
17,15.655764519225832
18,15.743112957652801
19,16.225162410949746
20,16.464734173591335
21,17.110259518883375
22,18.029181949959902
23,18.560339256613528
24,18.66315354309136
25,18.99905283019253
26,19.17872763806217
27,19.979362900791166
28,19.914944886205486
29,19.80801529459832
30,19.036738902538815
31,18.743000538239915
32,18.356751077268534
33,18.08191500495701
34,17.581707232495525
35,17.423997541679473
36,16.513664768031067
37,16.19037877842978
38,15.966817285350348
39,16.653189883377305
40,16.53522698860667
41,16.31106956931956
42,16.62980973898035
43,16.652310675987355
44,16.69000537620887
45,16.623958877186897
46,16.792296518877105
47,16.791244036993984
48,16.43092735003122
49,16.85721195575956
50,17.565986899914634
51,18.01593712473701
52,17.61362645319758
53,17.648179253075497
54,17.58153400255956
55,17.745328578087175
56,17.849791953163077
57,18.008768440459598
58,17.44738869743325
59,16.843349829078214
60,16.019777836619678
61,15.20668676779691
62,14.59331988039755
63,14.24001973697319
64,15.338926592524315
65,15.42314923598741
66,15.55592917134671
67,15.558188265901762
68,15.6846227097125
69,15.377129412147742
70,15.27809429145323
71,15.260849211815689
72,15.228751730333983
73,15.643738287556396
74,15.684084797836451
75,15.745532870016977
76,15.72616125499633
77,16.06844310131732
78,15.985032041805429
79,16.288318813942844
80,16.643055648335583
81,16.768447158519812
82,16.825041565449126
83,16.52601328120632
84,15.78005067465269
85,14.697564903707164
86,14.416846481698311
87,14.19434793924498
88,13.919186214833932
89,14.136100720451944
90,14.684855211849491
91,15.405991483085248
92,16.46060949943605
93,18.633596742710925
94,19.29966196655316
95,19.066767384975147
96,19.33286998338531
97,19.7714555699213
98,20.57934190901578
99,20.508554470828592
100,20.233768827753398
101,19.879375871731064
102,19.684623445778048
103,19.34081100679089
104,19.246602107538408
105,18.87979058536616
106,18.5488240865514
107,18.162125742482832
108,17.80602298119493
109,16.382980407224746
110,15.72625885218888
111,15.229737744243833
112,15.047563641454115
113,14.859124595024525
114,14.975352980572682
115,15.564746325293374
116,15.596041749007023
117,16.005758977166515
118,16.30932931784111
119,16.652534131230528
120,16.801677203952334
121,17.332497278520645
122,18.0220027666036
123,19.067836948402515
124,19.67099105297928
125,19.82002397256242
126,19.59096019805274
127,19.66997572123401
128,19.89298761230235
129,20.425074253813474
130,20.5891908696089
131,20.3663872867922
132,19.910631949633803
133,18.363300846313386
134,18.132541042284213
135,18.62252288075915
136,18.908596369045647
137,19.960828925083884
138,20.685397624752614
139,21.480419078403624
140,22.072200607072833
141,22.14200693484845
142,21.683764214812772
143,21.393798590314987
144,21.742484510996192
145,22.97269049370062
146,23.4781515818232
147,22.979165734081292
148,23.316805990745134
149,23.144232542933253
150,23.396021174854045
151,23.54418100432708
152,23.511227665152273
153,22.739378239545076
154,23.103944810146725
155,22.9458626727655
156,22.77959661280997
157,21.711311042638822
158,21.027661617422773
159,21.854716154332795
160,21.909938735437862
161,21.693035732960585
