Hour,Heating Load (MMBtu/hr)
1,6.217251472310593e-05
2,6.217251472310593e-05
3,6.217251472310593e-05
4,6.217251472310593e-05
5,6.217251472310593e-05
6,6.217251472310593e-05
7,6.217251472310593e-05
8,6.217251472310593e-05
9,6.217251472310593e-05
10,6.217251472310593e-05
11,6.217251472310593e-05
12,6.217251472310593e-05
13,6.217251472310593e-05
14,6.217251472310593e-05
15,6.217251472310593e-05
16,0.22643825908770027
17,0.2250678102228648
18,0.22569960522536675
19,0.16818069354489756
20,0.1703231599066432
21,0.17605310960287116
22,6.217251472310593e-05
23,6.217251472310593e-05
24,6.217251472310593e-05
25,6.217251472310593e-05
26,6.217251472310593e-05
27,6.217251472310593e-05
28,6.217251472310593e-05
29,6.217251472310593e-05
30,6.217251472310593e-05
31,6.217251472310593e-05
32,6.217251472310593e-05
33,6.217251472310593e-05
34,6.217251472310593e-05
35,6.217251472310593e-05
36,6.217251472310593e-05
37,6.217251472310593e-05
38,6.217251472310593e-05
39,6.217251472310593e-05
40,0.23138646991296205
41,0.2297848945182926
42,0.23206043464295723
43,0.1719945959024613
44,0.17232984385365757
45,0.17174230109424693
46,6.217251472310593e-05
47,6.217251472310593e-05
48,6.217251472310593e-05
49,6.217251472310593e-05
50,6.217251472310593e-05
51,6.217251472310593e-05
52,6.217251472310593e-05
53,6.217251472310593e-05
54,6.217251472310593e-05
55,6.217251472310593e-05
56,6.217251472310593e-05
57,6.217251472310593e-05
58,6.217251472310593e-05
59,6.217251472310593e-05
60,6.217251472310593e-05
61,6.217251472310593e-05
62,6.217251472310593e-05
63,6.217251472310593e-05
64,0.22276820989848609
65,0.2233807069291687
66,0.22434454646966814
67,0.1621699906453413
68,0.16331464105377308
69,0.16052651209145682
70,6.217251472310593e-05
71,6.217251472310593e-05
72,6.217251472310593e-05
73,6.217251472310593e-05
74,6.217251472310593e-05
75,6.217251472310593e-05
76,6.217251472310593e-05
77,6.217251472310593e-05
78,6.217251472310593e-05
79,6.217251472310593e-05
80,6.217251472310593e-05
81,6.217251472310593e-05
82,6.217251472310593e-05
83,6.217251472310593e-05
84,6.217251472310593e-05
85,6.217251472310593e-05
86,6.217251472310593e-05
87,6.217251472310593e-05
88,0.2123093269179639
89,0.21392384202471118
90,0.2179814583300306
91,0.1607888340660635
92,0.17028634670819853
93,0.18933165361463725
94,6.217251472310593e-05
95,6.217251472310593e-05
96,6.217251472310593e-05
97,6.217251472310593e-05
98,6.217251472310593e-05
99,6.217251472310593e-05
100,6.217251472310593e-05
101,6.217251472310593e-05
102,6.217251472310593e-05
103,6.217251472310593e-05
104,6.217251472310593e-05
105,6.217251472310593e-05
106,6.217251472310593e-05
107,6.217251472310593e-05
108,6.217251472310593e-05
109,6.217251472310593e-05
110,6.217251472310593e-05
111,6.217251472310593e-05
112,0.22064251222575096
113,0.21926206930854492
114,0.22011404638602244
115,0.16222942337023102
116,0.16251294829431692
117,0.16621095523028498
118,6.217251472310593e-05
119,6.217251472310593e-05
120,6.217251472310593e-05
121,6.217251472310593e-05
122,6.217251472310593e-05
123,6.217251472310593e-05
124,6.217251472310593e-05
125,6.217251472310593e-05
126,6.217251472310593e-05
127,6.217251472310593e-05
128,6.217251472310593e-05
129,6.217251472310593e-05
130,6.217251472310593e-05
131,6.217251472310593e-05
132,6.217251472310593e-05
133,6.217251472310593e-05
134,6.217251472310593e-05
135,6.217251472310593e-05
136,0.2479794014667987
137,0.25512914521328955
138,0.25998113106266846
139,0.21326801748396793
140,0.21810580827702372
141,0.218673429584491
142,6.217251472310593e-05
143,6.217251472310593e-05
144,6.217251472310593e-05
145,6.217251472310593e-05
146,6.217251472310593e-05
147,6.217251472310593e-05
148,6.217251472310593e-05
149,6.217251472310593e-05
150,6.217251472310593e-05
151,6.217251472310593e-05
152,6.217251472310593e-05
153,6.217251472310593e-05
154,6.217251472310593e-05
155,6.217251472310593e-05
156,6.217251472310593e-05
157,6.217251472310593e-05
158,6.217251472310593e-05
159,6.217251472310593e-05
160,0.2680520730237818
161,0.2666341184050503
162,0.2724203896525559
163,0.22726532052133044
164,0.22892320379457093
165,0.23076662467122563
166,6.217251472310593e-05
