Hour,Heating Load (MMBtu/hr)
1,0.17426827140195827
2,0.17854011347295032
3,0.18587755435940298
4,0.19062269484150646
5,0.20359619160350098
6,0.20871329846252196
7,0.20895459493769464
8,0.21212500512829682
9,0.21912962517862153
10,0.21525274232442201
11,0.1946423751942436
12,0.18162942394752798
13,0.16466148259433416
14,0.1550118546388608
15,0.1560990043194038
16,0.15590647628299056
17,0.15428910449996672
18,0.15503473422459327
19,0.1591298095733682
20,0.16115260063313158
21,0.1665624830123255
22,0.17416316875654755
23,0.1785036630366257
24,0.17933942103115716
25,0.1820599782888556
26,0.1835090282224199
27,0.18991411138187694
28,0.1894018807454744
29,0.18855041552347954
30,0.18236426743644993
31,0.17998749984512888
32,0.17684451784728034
33,0.1745958087557256
34,0.17047656896762833
35,0.1691706621094998
36,0.1615647331196836
37,0.15883543669337713
38,0.15693929669867143
39,0.16273805742661887
40,0.1617462392764036
41,0.159856097354155
42,0.1625416367297616
43,0.16273067245244952
44,0.16304719390202377
45,0.16249247049437304
46,0.16390511737020105
47,0.16389629765258165
48,0.16086765357699565
49,0.16444880168912812
50,0.17034655223521394
51,0.1740544439179989
52,0.17074045518411038
53,0.17102595524619654
54,0.17047513643683332
55,0.1718277894721763
56,0.1726885400098362
57,0.17399558721950587
58,0.16936456926485705
59,0.16433275253304935
60,0.1573891320076961
61,0.15043810258809578
62,0.14513030856106543
63,0.14204757427237183
64,0.15157516983788868
65,0.1522980245463209
66,0.1534355254893813
67,0.1534548564888261
68,0.1545355682582486
69,0.15190318044617326
70,0.1510524205068637
71,0.15090412989138008
72,0.15062800708879312
73,0.15418635859639265
74,0.1545309753208419
75,0.15505537548960177
76,0.15489011651147197
77,0.1578021281282492
78,0.1570940544303985
79,0.1596638576240556
80,0.1626529274493922
81,0.16370522317564368
82,0.16417944026686487
83,0.1616686883444549
84,0.15534971159952332
85,0.14603633447843328
86,0.14359282303436544
87,0.14164769415480513
88,0.13923184010943868
89,0.1411372531780482
90,0.14592595729314028
91,0.15215084946655477
92,0.1611178437706553
