Hour,Heating Load (MMBtu/hr)
1,0.10234515385168579
2,0.10485407383823796
3,0.10916346818948816
4,0.11195036377146421
5,0.11956990231729792
6,0.12257525959843438
7,0.12271697681063105
8,0.12457900854321406
9,0.12869293198663914
10,0.12641597775547217
11,0.11431118521779435
12,0.1066684744329989
13,0.09670293580020328
14,0.09103555764390889
15,0.09167405773744222
16,0.0915609829957965
17,0.09061107512825878
18,0.0910489951841958
19,0.09345409729664175
20,0.09464211427716669
21,0.09781942322269711
22,0.10228342541619398
23,0.10483266592411249
24,0.1053235197294625
25,0.10692134576445307
26,0.10777239556437869
27,0.11153420156919633
28,0.11123336046598199
29,0.11073328155908065
30,0.10710005956318515
31,0.10570414660241641
32,0.1038582238785118
33,0.10253752168728288
34,0.10011822741984329
35,0.09935124779782434
36,0.0948841661637847
37,0.09328120747772176
38,0.09216757465821232
39,0.0955732779697588
40,0.09499076758226162
41,0.09388065752497468
42,0.0954579170074554
43,0.09556894065836342
44,0.09575483868029683
45,0.09542904090469227
46,0.09625871061668193
47,0.09625353065790929
48,0.09447476039273749
49,0.09657802496198364
50,0.10004186654949287
51,0.10221956960974417
52,0.10027321194214185
53,0.1004408906156569
54,0.1001173860719931
55,0.1009118204585748
56,0.10141735277729858
57,0.10218500214569994
58,0.09946513251770077
59,0.09650986746873604
60,0.09243177000502362
61,0.08834932118127826
62,0.08523197032944164
63,0.08342143203200476
64,0.08901713864775984
65,0.08944168257874317
66,0.09010975476009689
67,0.0901211081598858
68,0.09075582716703687
69,0.0892097844331728
70,0.08871011974987705
71,0.08862302634079917
72,0.08846085507916536
73,0.09055073084428727
74,0.09075312966271315
75,0.091061118123543
76,0.09096405892840037
77,0.09267432911746372
78,0.09225846630630018
79,0.09376775211015823
80,0.09552327979619119
81,0.09614130961458817
82,0.09641982476527892
83,0.09494522070110163
84,0.09123398634682327
85,0.08576409359023683
86,0.08432898091577248
87,0.08318657615425577
88,0.08176770710472528
89,0.08288678614627842
90,0.08569926733457506
91,0.08935524434132448
92,0.09462170102557937
93,0.1051824960084805
94,0.10834379424601014
95,0.1072423800754904
96,0.10850049829723868
97,0.11056210068341725
98,0.11432099262047628
99,0.11399361907747003
100,0.11271921222163094
101,0.11106711187162135
102,0.11015512062337586
103,0.10853795817751716
104,0.10809323385349844
105,0.10635504913058007
106,0.10477763827637598
107,0.10292359241567253
108,0.10120564781526313
109,0.09423724469603773
110,0.09096454800773582
111,0.08846583819841261
112,0.08754374040930742
113,0.0865869053011999
114,0.087177441547844
115,0.09015406414352622
116,0.09031128127898763
117,0.09236185958092626
118,0.09387202269501814
119,0.09557004301526206
120,0.09630487510965946
121,0.09890533056245601
122,0.10224881496603418
123,0.10724744798712797
124,0.11009117314491927
125,0.11078948646923405
126,0.10971547126594683
127,0.11008640980466888
128,0.1111307442382685
129,0.11360705799646448
130,0.11436651153336008
131,0.11333498794103526
132,0.11121320709006126
133,0.10388962463890473
134,0.10278125522518738
135,0.10512964172470811
136,0.10649193091125332
137,0.11144767790038704
138,0.11481076546225678
139,0.11845542632679754
140,0.12113802508913919
141,0.12145277623941134
142,0.11938010437569817
143,0.11806060806197827
144,0.11964655934046618
145,0.1251712610850651
146,0.12740980988208944
147,0.12520005270131926
148,0.12669721749906984
149,0.12593300194776264
150,0.1270473053179358
151,0.12770090433453402
152,0.12755566597359824
153,0.12413186244892414
154,0.12575429008300587
155,0.1250519416069379
156,0.12431131141287075
157,0.1195051350716355
158,0.1163856023603149
159,0.12015512936529321
160,0.12040502838152457
161,0.11942219255108578
162,0.1234328672451559
163,0.12621705749490175
164,0.12713636876881745
165,0.12815856232238884
166,0.13053051512318903
167,0.13021874788516763
168,0.12929806383513298
169,0.12864083971082496
170,0.12843450034247955
171,0.1303480787674405
172,0.1293767459311492
173,0.12704026346734212
174,0.1252609086602906
175,0.12422807004206687
176,0.12429352118462189
177,0.1250819105115537
178,0.12635889584012633
179,0.12756609477181396
180,0.12737081346226145
181,0.12722561594558493
182,0.12733923107006503
183,0.1312250866888072
184,0.12636563293888048
185,0.12192586163510401
186,0.11833008049649857
187,0.11405719030607504
188,0.1068181631481055
189,0.09715586747325287
190,0.08546754086063178
191,0.07824927841277625
192,0.07574229572225755
193,0.07662260862819993
194,0.08470719540857692
195,0.09351345927689671
196,0.09839950822468113
197,0.10303735308443983
198,0.10405302199577025
199,0.10339245326935141
200,0.10300670126804527
201,0.10362195037293082
202,0.10064653090042755
203,0.09487565370339346
204,0.09110269265792083
205,0.08710043619667497
206,0.08490252205789467
207,0.08387085130950692
208,0.08584919222649406
209,0.0896739071652698
210,0.09480112609468931
211,0.10075953759209919
212,0.10495650348623838
213,0.11140410905204902
214,0.11816628317103295
215,0.12009241588651014
216,0.1236302956065376
217,0.12890109133796362
218,0.13318561710506735
219,0.1392366274127705
220,0.1397841545348038
221,0.13625673024088078
222,0.13676701854034387
223,0.13785526685369898
224,0.1384049789692482
225,0.13719902240285442
226,0.13483951083974083
227,0.12939444709222503
228,0.12864121208567184
229,0.11900475190183794
230,0.11602637560851463
231,0.12035872884420622
232,0.11942891261797409
233,0.12112475537174221
234,0.12051858853381964
235,0.12347465787152889
236,0.12616053358401186
237,0.12988502450072487
238,0.13250600833055545
239,0.12896160284643363
240,0.13136933127997966
241,0.13099054519720565
242,0.13416048536334993
243,0.1358158889382807
244,0.1362070658473937
245,0.1366322165435843
246,0.13832396470019043
247,0.1408123777699984
248,0.14147896032361737
249,0.14154915324726916
250,0.1381170853870489
251,0.13294706267876097
252,0.12174576537619282
253,0.11931404798381565
254,0.12664539457418206
255,0.1310208177071417
256,0.14180171994946944
257,0.15112002143489117
258,0.161716350726894
259,0.17355239096357244
260,0.17981582013496972
261,0.1848208144501325
262,0.19612915097970435
263,0.20110665314192563
264,0.2069335886027132
265,0.21495626469121853
266,0.21968261805323172
267,0.222
268,0.222
269,0.222
270,0.222
271,0.222
272,0.222
273,0.222
274,0.222
275,0.222
276,0.222
277,0.222
278,0.222
279,0.222
280,0.222
281,0.222
282,0.222
283,0.222
284,0.222
285,0.222
286,0.222
287,0.222
288,0.222
289,0.222
290,0.222
291,0.222
292,0.222
293,0.222
294,0.222
295,0.222
296,0.222
297,0.222
298,0.222
299,0.222
300,0.222
301,0.222
302,0.222
303,0.222
304,0.222
305,0.222
306,0.222
307,0.222
308,0.222
309,0.222
310,0.222
311,0.222
312,0.222
313,0.222
314,0.222
315,0.222
316,0.222
317,0.222
318,0.222
319,0.222
320,0.222
321,0.222
322,0.222
323,0.21709853887304278
324,0.20985270477316745
325,0.19999767246701464
326,0.19264671421165933
327,0.1895334199463275
328,0.18482044502189635
329,0.18245649538643005
330,0.1827104011658192
331,0.18704163089570536
332,0.18725379879497842
333,0.18900494293217435
334,0.18840701003892862
335,0.1907854989901317
336,0.19373948613630215
337,0.19989611730777684
338,0.20377957854821913
339,0.21053079640960973
340,0.2136963928055018
341,0.215735962871017
342,0.2177779427676084
343,0.21731253703084416
344,0.2179715159801093
345,0.21863731880831347
346,0.2134903194685937
347,0.20827173556032297
348,0.19811979531995683
349,0.18447280106730335
350,0.17585955440959694
351,0.1712077480696739
352,0.16742552083400528
353,0.16633114287060446
354,0.16689170566690067
355,0.174624430877148
356,0.18135722546160585
357,0.18548341761310605
358,0.1907307844162276
359,0.19570751228812427
360,0.1992116781383198
361,0.20343854150135607
362,0.20612022715104095
363,0.20578383499085268
364,0.20924424536978972
365,0.21363329277093612
366,0.2147716878048485
367,0.21524997760054104
368,0.21354319655793216
369,0.2135081700255751
370,0.20692469405231623
371,0.1995113869233867
372,0.18861067993405586
373,0.17138446219010536
374,0.1591227858734101
375,0.15207415293485138
376,0.14720954272400671
377,0.14613857668507538
378,0.14780345357670116
379,0.1503594581661429
380,0.15434661136281863
381,0.1589660055467064
382,0.16597232835309983
383,0.17160242665264336
384,0.17466600689865333
385,0.1781988680181701
386,0.17958914117851305
387,0.1757023234294217
388,0.16925250558081845
389,0.16352885248724533
390,0.15905525884323016
391,0.15495203748837544
392,0.15187913204382741
393,0.1507794130706196
394,0.14890662621533332
395,0.14300019107370898
396,0.14050955032893117
397,0.13974428555637053
398,0.13997625784169185
399,0.1431639929220566
400,0.14544187957649177
401,0.14741274533651155
402,0.14915985007133215
403,0.14822327964451323
404,0.14654829439674305
405,0.14638587634185754
406,0.1453662008372238
407,0.14211679405967925
408,0.14134225160481692
409,0.1399217220801639
410,0.1379726796888898
411,0.13729236355582472
412,0.1359909430959781
413,0.13433310514721686
414,0.13535669630224667
415,0.1353096489141077
416,0.13529440258524056
417,0.13506859040543973
418,0.1356158379944108
419,0.14343502024540142
420,0.14921418290449787
421,0.1504745074416449
422,0.15010206143606247
423,0.15487480749294386
424,0.15394517439190722
425,0.15175085224653134
426,0.1507508742408189
427,0.1525513913080133
428,0.15208987467989887
429,0.15059474427454805
430,0.1492683267412212
431,0.14814692817947936
432,0.14626988120603157
433,0.14441903352647822
434,0.14222612003065638
435,0.14298546572496781
436,0.1420185436778586
437,0.14201251266284923
438,0.13962805969866832
439,0.13657234809399596
440,0.13178183653561373
441,0.1274004492045538
442,0.12230150462110212
443,0.12268600940802232
444,0.12461629663538666
445,0.12324952299957119
446,0.1208949155645918
447,0.1123575967390416
448,0.10964786579771889
449,0.1067733401122695
450,0.10814793220927477
451,0.10897565182451752
452,0.116946917848826
453,0.12214521726461555
454,0.12591769787919466
455,0.13175323533199376
456,0.13304889195341266
457,0.13428328708633694
458,0.13715490264580177
459,0.1388036176077542
460,0.13865649558975146
461,0.13873492885234953
462,0.1345924779001477
463,0.13320066655383805
464,0.13106831540788497
465,0.1338169230569066
466,0.13376985027424848
467,0.1270212368604307
468,0.1205247369891787
469,0.10920041395260412
470,0.10343991388194425
471,0.09955721599537665
472,0.09688588051075397
473,0.09677795217704374
474,0.09883895544750115
475,0.09853125716106535
476,0.10006741865921487
477,0.10307733487399934
478,0.1081494425178101
479,0.11797766234853282
480,0.12119132169645559
481,0.1192711224739197
482,0.11842213465599417
483,0.11572020916458398
484,0.1166698487261158
485,0.11457346997103883
486,0.11203661891415134
487,0.10902268128492523
488,0.10659075301970788
489,0.10299595515475295
490,0.10088101843879425
491,0.09645698343074466
492,0.09431993794505403
493,0.09736193178907154
494,0.09993941871820104
495,0.09583627754711156
496,0.09272541722403506
497,0.0916185910337922
498,0.09406872061904112
499,0.09754920456780229
500,0.09804662185290508
501,0.10061362982569594
502,0.10027548360713662
503,0.10068269866974026
504,0.10190424852815469
505,0.10295773508818276
506,0.10294567513056965
507,0.10446687205484467
508,0.10417111777712905
509,0.1027766634828907
510,0.10253875457105595
511,0.10125779881337789
512,0.1000528900618202
513,0.1013951540814215
514,0.1021081625687443
515,0.09921660220813576
516,0.09659487502533844
517,0.08983023761737322
518,0.08324104351862698
519,0.07540565718736944
520,0.0718393853894257
521,0.0692179054726349
522,0.07146339043547878
523,0.07545062180684675
524,0.07737168958854046
525,0.07923532989999683
526,0.08067646755749744
527,0.07958030583977989
528,0.08087653641866721
529,0.08529118589729373
530,0.08454094516228684
531,0.08181082756678752
532,0.08180843151142274
533,0.08161548783938882
534,0.08248035651951693
535,0.0825291305836033
536,0.0827544532765655
537,0.0842862404559954
538,0.08298036702204765
539,0.07842026569563446
540,0.07338640249244431
541,0.06758426976183356
542,0.06575388630108346
543,0.06440897394472776
544,0.06655441256903509
545,0.06966929466918217
546,0.07410528256396169
547,0.08138812367114187
548,0.0825450912372217
549,0.08484703418844224
550,0.0886902996996398
551,0.09104804899034256
552,0.09397692347097097
553,0.0971400371249353
554,0.09971493888247816
555,0.10106026862636291
556,0.10384548354141822
557,0.10371990413577538
558,0.1022455523835944
559,0.10178831072479883
560,0.10021312864996619
561,0.09952927838011194
562,0.09852508118892038
563,0.09789697117829736
564,0.09485460403265625
565,0.0872209467400239
566,0.07770258860525224
567,0.06997670553606462
568,0.06601669346427493
569,0.06643367370413604
570,0.07049414411922686
571,0.07520145265315543
572,0.07791993744025319
573,0.08102375551057327
574,0.08142752490147083
575,0.08205273411187926
576,0.08488372554235617
577,0.08532705376118169
578,0.08539051109072057
579,0.08467372584535235
580,0.08395279008410891
581,0.08533925818497672
582,0.08707770092225056
583,0.08828139409897677
584,0.08864982637977267
585,0.09027818790563082
586,0.08923581271138624
587,0.08655118832567739
