Hour,Load (kW)
1,22.649488301341577
2,22.90731970432039
3,23.79106509676374
4,24.44358656020697
5,25.913085423103848
6,26.436595373390126
7,26.75567813855481
8,26.95714154586656
9,27.85972736903471
10,27.225741713530105
11,24.984720081414835
12,22.90576896850112
13,20.607625190650104
14,19.472930748396927
15,19.65801425314377
16,19.642899785120644
17,19.48576451922583
18,19.4631129576528
19,20.170162410949747
20,20.459734173591336
21,21.712759518883374
22,22.264181949959905
23,22.83533925661353
24,23.00815354309136
25,23.22155283019253
26,23.57872763806217
27,24.33436290079117
28,23.97494488620549
29,23.91801529459832
30,23.23673890253881
31,23.325500538239915
32,24.77425107726853
33,25.79441500495701
34,25.024207232495524
35,24.84399754167947
36,24.501164768031067
37,23.44287877842978
38,23.20431728535035
39,24.250689883377305
40,23.91522698860667
41,22.70106956931956
42,22.11980973898035
43,21.367310675987355
44,21.60000537620887
45,21.7589588771869
46,21.869796518877106
47,23.038744036993982
48,21.66842735003122
49,22.29471195575956
50,22.355986899914633
51,22.42593712473701
52,22.02362645319758
53,22.065679253075498
54,21.92903400255956
55,22.212828578087176
56,23.812291953163076
57,25.611268440459597
58,25.34238869743325
59,25.793349829078213
60,24.009777836619676
61,22.32668676779691
62,22.22581988039755
63,21.93001973697319
64,22.856426592524315
65,23.52814923598741
66,22.66092917134671
67,22.925688265901762
68,22.4671227097125
69,21.55462941214774
70,23.138094291453232
71,22.53084921181569
72,21.786251730333984
73,22.463738287556396
74,22.381584797836453
75,21.893032870016977
76,22.213661254996328
77,22.105943101317322
78,22.23003204180543
79,22.668318813942843
80,23.548055648335584
81,24.545947158519812
82,24.260041565449125
83,22.77351328120632
84,22.62755067465269
85,21.952564903707163
86,21.74934648169831
87,20.15934793924498
88,19.62668621483393
89,19.683600720451945
90,19.957355211849492
91,21.48349148308525
92,22.005609499436048
93,23.918596742710925
94,24.54466196655316
95,24.814267384975146
96,24.60286998338531
97,25.0089555699213
98,25.54934190901578
99,25.266054470828593
100,25.0437688277534
101,24.699375871731064
102,24.64712344577805
103,24.02831100679089
104,25.226602107538408
105,26.04229058536616
106,26.3063240865514
107,25.157125742482833
108,25.923522981194928
109,23.847980407224746
110,23.24125885218888
111,22.20973774424383
112,22.667563641454116
113,21.476624595024525
114,20.135352980572684
115,21.659746325293373
116,21.563541749007022
117,21.513258977166515
118,21.611829317841114
119,21.510034131230526
120,21.841677203952333
121,21.872497278520644
122,22.6370027666036
123,23.680336948402516
124,24.590991052979277
125,24.48002397256242
126,24.578460198052742
127,24.45747572123401
128,24.60298761230235
129,25.310074253813475
130,25.1966908696089
131,25.3613872867922
132,25.063131949633803
133,23.185800846313384
134,22.652541042284213
135,22.945022880759147
136,23.481096369045645
137,25.993328925083883
138,27.22039762475261
139,27.502919078403625
140,28.049700607072836
141,28.34700693484845
142,27.21376421481277
143,26.448798590314986
144,26.659984510996193
145,28.065190493700623
146,28.3581515818232
147,27.95166573408129
148,28.311805990745132
149,27.91923254293325
150,27.953521174854046
151,28.21668100432708
152,28.201227665152278
153,28.09437823954508
154,29.593944810146724
155,28.3758626727655
156,27.679596612809974
157,26.52881104263882
158,25.792661617422773
159,26.409716154332795
160,26.487438735437866
161,26.100535732960584
162,27.4404653636604
163,27.770821776575836
164,27.911189758595132
