Hour,Load (kW)
1,29.56314894254266
2,29.909916946466257
3,30.93570756335113
4,31.672756355846488
5,33.34318323752811
6,33.93350111725838
7,34.25555704430741
8,34.4945896329872
9,35.47021717263315
10,34.79751104709199
11,32.280912427615505
12,29.969835292258185
13,27.304866337454257
14,25.93044876306361
15,26.14363883282256
16,26.123567005358318
17,25.924444138487438
18,25.921225335151608
19,26.732678680196496
20,27.0723614045156
21,28.45460749521373
22,29.17559725417932
23,29.837196900804024
24,30.02688531427549
25,30.293994727601834
26,30.6790123208813
27,31.55128053312017
28,31.182924283340146
29,31.11098644701251
30,30.315071798417137
31,30.35719630209288
32,31.742091688851616
33,32.71505537536361
34,31.855141455099773
35,31.645623297913566
36,31.123882656813777
37,29.998021712263558
38,29.71147661287944
39,30.90191374440549
40,30.54237604733504
41,29.28168992839857
42,28.766284451316302
43,28.018356146574963
44,28.258684998200813
45,28.404243383508962
46,28.549047716186102
47,29.717784649585443
48,28.274054303302766
49,28.9869084294398
50,29.184021834911576
51,29.335026833655704
52,28.860432445786536
53,28.90881874265797
54,28.759936303202657
55,29.073648953080845
56,30.69191653403289
57,32.519098000296175
58,32.148392628194976
59,32.48278909768747
60,30.52839726432746
61,28.662944407556584
62,28.415318330049264
63,28.03134175599068
64,29.22328314320562
65,29.91430274312417
66,29.07720358773233
67,29.34247196885402
68,28.912240069127634
69,27.930257350529118
70,29.49092051732224
71,28.879683905030074
72,28.127640520005734
73,28.899729957743805
74,28.82658231724853
75,28.351681358638167
76,28.668014717058078
77,28.6350421971457
78,28.74113937710551
79,29.24415938911288
80,30.197222330168596
81,31.220420985523315
82,30.945833337736154
83,29.398770023738603
84,29.093833060750956
85,28.167569771642803
86,27.895135927212387
87,26.249075158287148
88,25.645602113744946
89,25.75847520461801
90,26.169262719508573
91,27.865725886049503
92,28.617383894573422
93,30.932498486176762
94,31.663340570797565
95,31.897274832470455
96,31.7265508465898
97,32.196746183004166
98,32.84580383714413
99,32.55347799175415
100,32.29523020284016
101,31.902386692953744
102,31.8225093080529
103,31.153184958601347
104,32.337244628316014
105,33.09591054668333
106,33.30627911370965
107,32.09169377760291
108,32.795294990604106
109,30.443639142815634
110,29.69563397278979
111,28.551355589809297
112,28.9665138543666
113,27.730701868608392
114,26.417196568634864
115,28.07800786335728
116,27.98884324816801
117,28.02885050283935
118,28.192084435710456
119,28.161124942185474
120,28.52280433651373
121,28.656892091474695
122,29.547157939206087
123,30.76351057781235
124,31.76441653448458
125,31.674691294468616
126,31.74030644336917
127,31.63075505497443
128,31.807902630543353
129,32.58672002331001
130,32.49440304103463
131,32.630379225026495
132,32.27051014075073
133,30.154748362085606
134,29.581986676789043
135,29.957110646048108
136,30.539287415688648
137,33.20768284469514
138,34.53022867149437
139,34.90643254169737
140,35.51554989058139
141,35.81979792717353
142,34.63940344044264
143,33.84266116474007
144,34.09187507078772
145,35.614002829617185
146,35.94734428194788
147,35.50102329647143
148,35.888587756388
149,35.48224358244204
150,35.53645218701694
151,35.810823935774934
152,35.79290942170552
153,35.6230587850398
154,37.15366698320184
155,35.9224083031459
156,35.2118151164765
157,33.9573905742264
158,33.14423247822965
159,33.85338335746544
160,33.93681803181208
161,33.527166102936334
162,34.95511775748469
163,35.3390068893662
164,35.49566916877022
165,35.899917974329504
166,36.713288284313215
167,36.49226783650483
168,36.48027082322701
169,36.25251513838514
170,36.20470192625397
171,36.87880351564877
172,36.549456444563035
173,36.10973512194323
174,35.090862242610136
175,34.921517774379694
176,35.452477197179164
177,38.37971583668817
178,39.52859235315259
179,39.33045235057608
180,39.30033550444752
181,39.80493094972757
182,39.17263454262462
183,40.39015066436434
184,39.62023510839356
185,37.53515374153173
186,34.373368566435836
187,32.37897902161526
188,30.723834968191042
189,28.15530792467925
190,25.43775918684098
191,23.822678342019117
192,23.31638272291997
193,23.17603574979336
194,24.794858687028622
195,26.677153338760416
196,27.771053793091674
197,28.891932859610243
198,29.2095907147281
199,29.311019491499913
200,29.381958806777607
201,33.08197942075854
202,32.37146149221345
203,31.164307002376837
204,29.85681877635045
205,29.01841980005371
206,28.699986588678208
207,28.118426890548957
208,29.205819984132145
209,29.628427734165278
210,28.563634399560264
211,29.261516726563087
212,30.024893104189772
213,31.59705913906728
214,33.298428686573104
215,34.17809147891217
216,36.01575813470189
217,36.250974164303024
218,37.433420136450344
219,39.543540163292036
220,39.45741578939368
221,38.54297808645447
222,39.13613911448936
223,39.207041502074674
224,41.177738903462284
225,41.63061275365162
226,41.079577233652216
227,40.27627264597101
228,39.35760593722209
229,36.940378547288596
230,34.05913963585814
231,34.87552848265161
232,34.65630470517496
233,35.43731423995559
234,35.037008220445905
235,35.33030786646225
236,35.40522425766633
237,35.97339366361072
238,36.8498473433677
239,35.840729120598766
240,36.4253228604054
241,37.02546072569614
242,37.69416602941806
243,38.623770669206074
244,38.30615071879721
245,38.35534857725974
246,38.912467512100804
247,39.68115607162716
248,41.62818425048516
249,42.700167240965
250,41.6866060029775
251,39.923970098871365
252,36.456239575508604
253,35.80079643534684
254,37.44845139991349
255,39.262842289507105
256,43.47584014051844
257,45.17240797837805
258,47.181506807369665
259,52.39447572832509
260,54.73316907790706
261,56.82403848984476
262,62.360190574360225
263,63.94038463957919
264,65.62067041462123
265,68.61858868146389
266,69.35300528358316
267,70.22665431252024
268,70.09665431252023
269,70.39665431252024
270,70.06915431252024
271,70.80915431252023
272,71.80665431252024
273,73.49165431252024
274,74.11665431252024
275,73.33665431252024
276,73.23665431252023
277,72.77915431252023
278,73.76165431252024
279,73.27915431252023
280,74.27165431252024
281,74.01415431252023
282,72.06665431252023
283,70.99665431252023
284,70.62665431252023
285,70.68915431252023
286,71.22415431252023
287,70.76415431252023
288,70.90165431252024
289,70.98915431252024
290,71.01165431252024
291,71.00915431252024
292,70.91915431252023
293,70.74915431252023
294,70.93665431252023
295,70.86415431252024
296,71.23165431252023
297,70.74415431252024
298,70.53415431252023
299,70.88665431252024
300,70.70915431252024
301,70.92665431252024
302,70.56165431252023
303,70.61665431252024
304,71.21915431252023
305,70.42165431252023
306,70.96415431252024
307,70.61415431252024
308,70.55665431252024
309,71.15915431252023
310,70.59165431252023
