Hour,Load (kW)
1,47.03210320232253
2,47.80710880899264
3,49.56845285769693
4,50.78118580493903
5,53.75216150379778
6,54.85545189933925
7,55.201696975322605
8,55.75855237607824
9,57.43636919347635
10,56.37501878005638
11,51.79230112694635
12,48.17671999683891
13,43.810772773672234
14,41.46901289720814
15,41.791186015798345
16,41.751813909109146
17,41.39055503542864
18,41.46208306975774
19,42.684053756334045
20,43.22651438767651
21,45.151082741863334
22,46.634015332104845
23,47.73073473136684
24,48.00420503426833
25,48.54404103692312
26,49.07432094549821
27,50.588676906304286
28,50.16897128167825
29,50.01167695992127
30,48.595622057309136
31,48.399483713557885
32,49.46930587104775
33,50.216844138118134
34,48.943990473669615
35,48.60355960645307
36,47.31935051658341
37,45.919886910848035
38,45.44326024189505
39,47.21500336548932
40,46.756039280469565
41,45.30587287827757
42,45.05968356723771
43,44.33070544917743
44,44.602764496941376
45,44.69271375196523
46,44.97913111751637
47,46.146983904295254
48,44.3996423156147
49,45.47149433004766
50,46.259837119349676
51,46.782545617214694
52,45.97573515783711
53,46.05274186251856
54,45.848641715444515
55,46.29795322023743
56,48.00250810785591
57,49.960716600503495
58,49.12576746793145
59,48.955741466068716
60,46.305275349356684
61,43.74300549284619
62,42.963291161083745
63,42.270280985184144
64,44.41733134344955
65,45.1808146633111
66,44.457746099144956
67,44.72495234705183
68,44.40305811751698
69,43.1571874958995
70,44.632564879447806
71,44.00646263855111
72,43.22673888400974
73,44.35554092816447
74,44.316939939322495
75,43.894608309684884
76,44.19437501899872
77,44.45332173514769
78,44.488436941079364
79,45.2490709614919
80,46.501777961286614
81,47.63046567538963
82,47.403416674151465
83,45.60465904035563
84,44.66626620327662
85,42.80636861179277
86,42.28898107626105
87,40.44792776908815
88,39.602273593366405
89,39.906157847850615
90,40.796996623164574
91,43.11748400628416
92,44.76805262077482
93,48.88574742650049
94,50.15617897035585
95,50.20211721519978
96,50.24613643920266
97,51.068218511107084
98,52.35886652314501
99,52.01066258598205
100,51.53489134482826
101,50.86005737802137
102,50.624515823689926
103,49.67916442962229
104,50.78731586813723
105,51.24929792936166
106,51.1904244933064
107,49.659379421924946
