Outdoor Air Temperature for Heating (F),Heating COP (kWt/kWe),Heating CF (kWt_max/kWt_rated)
10,1.6,0.4425
20,1.8,0.5784
35,2.1,0.7822
50,2.5,1.0744
60,2.7,1.2693
70,3.0,1.4663
80,3.3,1.6632
