Outdoor Air Temperature for Heating (F),Heating COP (kWt/kWe),Heating CF (kWt_max/kWt_rated)
30,1.4,0.6349
40,1.7,0.8606
50,1.7,1.0597
60,1.8,1.2588
70,2.2,1.469
80,2.7,1.6791
